municipio_ibge,municipio_nome,ano,mes,internacoes
420005,Abdon Batista,1990,1,2
420005,Abdon Batista,1990,2,3
420005,Abdon Batista,1990,3,3
420005,Abdon Batista,1990,4,2
420005,Abdon Batista,1990,5,3
420005,Abdon Batista,1990,6,5
420005,Abdon Batista,1990,7,5
420005,Abdon Batista,1990,8,5
420005,Abdon Batista,1990,9,3
420005,Abdon Batista,1990,10,3
420005,Abdon Batista,1990,11,2
420005,Abdon Batista,1990,12,3
420005,Abdon Batista,1991,1,2
420005,Abdon Batista,1991,2,2
420005,Abdon Batista,1991,3,3
420005,Abdon Batista,1991,4,4
420005,Abdon Batista,1991,5,4
420005,Abdon Batista,1991,6,5
420005,Abdon Batista,1991,7,6
420005,Abdon Batista,1991,8,6
420005,Abdon Batista,1991,9,5
420005,Abdon Batista,1991,10,2
420005,Abdon Batista,1991,11,3
420005,Abdon Batista,1991,12,3
420005,Abdon Batista,1992,1,2
420005,Abdon Batista,1992,2,3
420005,Abdon Batista,1992,3,3
420005,Abdon Batista,1992,4,3
420005,Abdon Batista,1992,5,5
420005,Abdon Batista,1992,6,5
420005,Abdon Batista,1992,7,6
420005,Abdon Batista,1992,8,5
420005,Abdon Batista,1992,9,5
420005,Abdon Batista,1992,10,3
420005,Abdon Batista,1992,11,3
420005,Abdon Batista,1992,12,3
420005,Abdon Batista,1993,1,4
420005,Abdon Batista,1993,2,3
420005,Abdon Batista,1993,3,5
420005,Abdon Batista,1993,4,4
420005,Abdon Batista,1993,5,4
420005,Abdon Batista,1993,6,6
420005,Abdon Batista,1993,7,9
420005,Abdon Batista,1993,8,7
420005,Abdon Batista,1993,9,5
420005,Abdon Batista,1993,10,4
420005,Abdon Batista,1993,11,4
420005,Abdon Batista,1993,12,3
420005,Abdon Batista,1994,1,4
420005,Abdon Batista,1994,2,3
420005,Abdon Batista,1994,3,3
420005,Abdon Batista,1994,4,4
420005,Abdon Batista,1994,5,5
420005,Abdon Batista,1994,6,5
420005,Abdon Batista,1994,7,8
420005,Abdon Batista,1994,8,7
420005,Abdon Batista,1994,9,5
420005,Abdon Batista,1994,10,4
420005,Abdon Batista,1994,11,4
420005,Abdon Batista,1994,12,3
420005,Abdon Batista,1995,1,4
420005,Abdon Batista,1995,2,3
420005,Abdon Batista,1995,3,4
420005,Abdon Batista,1995,4,5
420005,Abdon Batista,1995,5,5
420005,Abdon Batista,1995,6,6
420005,Abdon Batista,1995,7,8
420005,Abdon Batista,1995,8,8
420005,Abdon Batista,1995,9,4
420005,Abdon Batista,1995,10,3
420005,Abdon Batista,1995,11,4
420005,Abdon Batista,1995,12,4
420005,Abdon Batista,1996,1,4
420005,Abdon Batista,1996,2,4
420005,Abdon Batista,1996,3,4
420005,Abdon Batista,1996,4,4
420005,Abdon Batista,1996,5,5
420005,Abdon Batista,1996,6,6
420005,Abdon Batista,1996,7,8
420005,Abdon Batista,1996,8,8
420005,Abdon Batista,1996,9,5
420005,Abdon Batista,1996,10,4
420005,Abdon Batista,1996,11,4
420005,Abdon Batista,1996,12,4
420005,Abdon Batista,1997,1,3
420005,Abdon Batista,1997,2,6
420005,Abdon Batista,1997,3,4
420005,Abdon Batista,1997,4,5
420005,Abdon Batista,1997,5,5
420005,Abdon Batista,1997,6,7
420005,Abdon Batista,1997,7,9
420005,Abdon Batista,1997,8,8
420005,Abdon Batista,1997,9,6
420005,Abdon Batista,1997,10,5
420005,Abdon Batista,1997,11,3
420005,Abdon Batista,1997,12,4
420005,Abdon Batista,1998,1,4
420005,Abdon Batista,1998,2,5
420005,Abdon Batista,1998,3,5
420005,Abdon Batista,1998,4,5
420005,Abdon Batista,1998,5,6
420005,Abdon Batista,1998,6,8
420005,Abdon Batista,1998,7,9
420005,Abdon Batista,1998,8,8
420005,Abdon Batista,1998,9,6
420005,Abdon Batista,1998,10,5
420005,Abdon Batista,1998,11,5
420005,Abdon Batista,1998,12,5
420005,Abdon Batista,1999,1,5
420005,Abdon Batista,1999,2,5
420005,Abdon Batista,1999,3,6
420005,Abdon Batista,1999,4,5
420005,Abdon Batista,1999,5,6
420005,Abdon Batista,1999,6,9
420005,Abdon Batista,1999,7,10
420005,Abdon Batista,1999,8,9
420005,Abdon Batista,1999,9,7
420005,Abdon Batista,1999,10,6
420005,Abdon Batista,1999,11,5
420005,Abdon Batista,1999,12,4
420005,Abdon Batista,2000,1,5
420005,Abdon Batista,2000,2,5
420005,Abdon Batista,2000,3,5
420005,Abdon Batista,2000,4,5
420005,Abdon Batista,2000,5,6
420005,Abdon Batista,2000,6,8
420005,Abdon Batista,2000,7,12
420005,Abdon Batista,2000,8,11
420005,Abdon Batista,2000,9,8
420005,Abdon Batista,2000,10,6
420005,Abdon Batista,2000,11,6
420005,Abdon Batista,2000,12,4
420005,Abdon Batista,2001,1,5
420005,Abdon Batista,2001,2,5
420005,Abdon Batista,2001,3,6
420005,Abdon Batista,2001,4,5
420005,Abdon Batista,2001,5,7
420005,Abdon Batista,2001,6,9
420005,Abdon Batista,2001,7,11
420005,Abdon Batista,2001,8,10
420005,Abdon Batista,2001,9,7
420005,Abdon Batista,2001,10,6
420005,Abdon Batista,2001,11,4
420005,Abdon Batista,2001,12,4
420005,Abdon Batista,2002,1,5
420005,Abdon Batista,2002,2,5
420005,Abdon Batista,2002,3,5
420005,Abdon Batista,2002,4,5
420005,Abdon Batista,2002,5,7
420005,Abdon Batista,2002,6,8
420005,Abdon Batista,2002,7,12
420005,Abdon Batista,2002,8,11
420005,Abdon Batista,2002,9,8
420005,Abdon Batista,2002,10,6
420005,Abdon Batista,2002,11,6
420005,Abdon Batista,2002,12,6
420005,Abdon Batista,2003,1,5
420005,Abdon Batista,2003,2,5
420005,Abdon Batista,2003,3,6
420005,Abdon Batista,2003,4,6
420005,Abdon Batista,2003,5,7
420005,Abdon Batista,2003,6,10
420005,Abdon Batista,2003,7,11
420005,Abdon Batista,2003,8,10
420005,Abdon Batista,2003,9,8
420005,Abdon Batista,2003,10,5
420005,Abdon Batista,2003,11,6
420005,Abdon Batista,2003,12,6
420005,Abdon Batista,2004,1,5
420005,Abdon Batista,2004,2,5
420005,Abdon Batista,2004,3,6
420005,Abdon Batista,2004,4,6
420005,Abdon Batista,2004,5,7
420005,Abdon Batista,2004,6,9
420005,Abdon Batista,2004,7,11
420005,Abdon Batista,2004,8,10
420005,Abdon Batista,2004,9,9
420005,Abdon Batista,2004,10,5
420005,Abdon Batista,2004,11,6
420005,Abdon Batista,2004,12,6
420005,Abdon Batista,2005,1,6
420005,Abdon Batista,2005,2,5
420005,Abdon Batista,2005,3,5
420005,Abdon Batista,2005,4,7
420005,Abdon Batista,2005,5,8
420005,Abdon Batista,2005,6,9
420005,Abdon Batista,2005,7,12
420005,Abdon Batista,2005,8,11
420005,Abdon Batista,2005,9,8
420005,Abdon Batista,2005,10,6
420005,Abdon Batista,2005,11,5
420005,Abdon Batista,2005,12,7
420005,Abdon Batista,2006,1,6
420005,Abdon Batista,2006,2,7
420005,Abdon Batista,2006,3,6
420005,Abdon Batista,2006,4,6
420005,Abdon Batista,2006,5,7
